ID	TR02_TYPE	ORG_NAME	SECTOR_ID	ORG_NETWORK_BIT	ORG_PARTICIPANT_BIT	ORG_NB_EMPLOY	ORG_URL	ORG_BHR_URL	ORG_DATE_CREATE	ORG_DATE_MODIFICATION	ORG_DATE_JOINING	ORG_DATE_DELISTED	ORG_ACTIVE	ORG_ISGLOBAL500	TR01_COUNTRY_ID	ORG_STATUS_COP	ORG_COP_ALERT	ORG_UN_SPEC	ORG_PART_MAIL	ORG_30DAYS_TO_COP	ORG_90DAYS_TO_COP	ORG_TODAY_COPDUE	ORG_TODAY_INACT	ORG_30DAYS_TO_INACT	ORG_90DAYS_TO_INACT	ORG_MEMBER_ONEYEAR	ORG_LISTED_STATUS	ORG_LIST_CODE	ORG_LIST_EXCHANGE_CODE	ORG_PARENT_NAME	ORG_PARENT_LIST_CODE	TR11_REASON	ORG_LAST_MODIFIED_BY	ORG_JOIN_LETTER
6628	SME	Svilosa AD	32	FALSE	TRUE	85	http://www.svilosa.bg		4/15/2008	4/15/2008	4/15/2008		TRUE	FALSE	BG	2			0	3/16/2010	1/15/2010	4/15/2010	4/15/2011	3/16/2011	1/15/2011	4/15/2009	0		ZXXZ	All		0		
6629	SME	SVQ Comunicacion y Desarrollo Corporativo SL	21	FALSE	TRUE	10	http://www.svq.com		10/26/2005		6/18/2004		TRUE	FALSE	ES	2			0	3/30/2010	1/29/2010	4/29/2010	4/29/2011	3/30/2011	1/29/2011	6/18/2005			ZXXZ					
6630	Company	Svyazinvest JSC	28	FALSE	TRUE	260	http://www.svyazinvest.ru		10/26/2005		6/27/2002	6/27/2006	FALSE	FALSE	RU	0			0	5/27/2004	3/28/2004	6/26/2004	6/26/2005	5/27/2005	3/28/2005	6/27/2003			ZXXZ			3		
6631	SME	Swa Business Magazine	21	FALSE	TRUE	98	http://www.swa.co.id		5/11/2006	5/11/2006	5/11/2006		TRUE	FALSE	ID	2			0	7/6/2010	5/7/2010	8/5/2010	8/5/2011	7/6/2011	5/7/2011	5/11/2007			ZXXZ					
7908	SME	Swaco Group	6	FALSE	TRUE	62	http://www.swacogroup.com		7/10/2008	7/10/2008	7/10/2008		TRUE	FALSE	NA	2			0	6/10/2010	4/11/2010	7/10/2010	7/10/2011	6/10/2011	4/11/2011	7/10/2009	0		ZXXZ	All		0		pdf
7758	Business Association Local	Swaco Industries Namibia (Pty) LTD	101	FALSE	TRUE	62	http://www.swacogroup.com		6/17/2008	6/17/2008	6/17/2008		TRUE	FALSE	NA	2			0	5/18/2010	3/19/2010	6/17/2010	6/17/2011	5/18/2011	3/19/2011	6/17/2009	0		ZXXZ	All		0		pdf
6632	SME	Swan S.A.	21	FALSE	TRUE	47	http://www.swan-sa.fr		10/26/2005		4/8/2004		TRUE	FALSE	FR	2			0	6/20/2010	4/21/2010	7/20/2010	7/20/2011	6/20/2011	4/21/2011	4/8/2005			ZXXZ					
9090	Company	Swan Services Pty Ltd	11	FALSE	TRUE	1600	http://www.swanservices.com.au		2/26/2009	2/26/2009	2/26/2009		TRUE	FALSE	AU	2			0	1/27/2011	11/28/2010	2/26/2011	2/26/2012	1/27/2012	11/28/2011	2/26/2010	1		ZXXZ	All		0		pdf
6633	Company	Swedbank	13	FALSE	TRUE	15289	http://www.foreningssparbanken.se	S/Swedbank	10/26/2005		7/9/2002		TRUE	FALSE	SW	2			0	4/19/2010	2/18/2010	5/19/2010	5/19/2011	4/19/2011	2/18/2011	7/9/2003	2	SWDBY	OTC					
6634	Public Sector Organization	Swedish Ministry of Foreign Affairs	101	FALSE	FALSE	0			10/26/2005		10/26/2005		TRUE	FALSE	SW	2			0							10/26/2006			ZXXZ					
9091	SME	SweRoad	18	FALSE	TRUE	11	http://sweroad@sweroad.se		2/26/2009	2/26/2009	2/26/2009		TRUE	FALSE	SW	2			0	1/27/2011	11/28/2010	2/26/2011	2/26/2012	1/27/2012	11/28/2011	2/26/2010	4		ZXXZ	All		0		pdf
6635	Public Sector Organization	Swiss Government	101	FALSE	FALSE	0			10/26/2005		10/26/2005		TRUE	FALSE	CH	2			0							10/26/2006			ZXXZ					
6636	Media Organization	Swiss National Television	101	FALSE	FALSE	0	http://www.sf.ch		1/17/2008	1/17/2008			FALSE	FALSE	CH	2											0		ZXXZ			0		
6637	Media Organization	Swiss Radio International	101	FALSE	FALSE	0			10/26/2005		10/26/2005		FALSE	FALSE	CH	2			0							10/26/2006			ZXXZ					
6638	Company	Swiss Reinsurance Company	13	FALSE	TRUE	11700	http://www.swissre.com		4/24/2008	6/13/2008	4/24/2008		TRUE	TRUE	CH	2			0	3/25/2010	1/24/2010	4/24/2010	4/24/2011	3/25/2011	1/24/2011	4/24/2009	0	 RUKN	VTX	All		0		
9129	NGO Global	Swisscontact Indonesia	101	FALSE	TRUE	24	http://www.ysi.or.id		3/6/2009	3/6/2009	3/6/2009		TRUE	FALSE	ID	2			0	2/4/2011	12/6/2010	3/6/2011	3/5/2012	2/4/2012	12/6/2011	3/6/2010	0		ZXXZ	All		0	87806823	pdf
8058	SME	"Sword-of-Wisdom (SoW, Solusi Pedang Emas)"	21	FALSE	TRUE	14			8/5/2008	8/5/2008	8/5/2008		TRUE	FALSE	ID	2			0	7/6/2010	5/7/2010	8/5/2010	8/5/2011	7/6/2011	5/7/2011	8/5/2009	0		ZXXZ	All		0		pdf
6639	Company	Sydelis	17	FALSE	TRUE	263	http://www.sydelis.fr		10/26/2005	5/4/2007	5/18/2004		FALSE	FALSE	FR	1			0	4/18/2006	2/17/2006	5/18/2006	5/18/2007	4/18/2007	2/17/2007	5/18/2005			ZXXZ					
9434	Company	Sydsvenska Dagbladets AB	21	FALSE	TRUE	720	http://www.sydsvenskan.se		5/12/2009	5/12/2009	5/12/2009		TRUE	FALSE	SW	2			1	4/12/2011	2/11/2011	5/12/2011	5/11/2012	4/11/2012	2/11/2012	5/12/2010	1		ZXXZ	All		0	87806823	pdf
9213	NGO Local	SYEA	101	FALSE	TRUE	10	http://www.syea.org		3/26/2009	3/26/2009	3/26/2009		TRUE	FALSE	SY	2			0	2/24/2011	12/26/2010	3/26/2011	3/25/2012	2/24/2012	12/26/2011	3/26/2010	0		ZXXZ	All		0	87806823	doc
6640	Company	Sylis	17	FALSE	TRUE	2000	http://www.sylis.com		10/26/2005		2/10/2004	2/10/2008	FALSE	FALSE	FR	3			0	1/10/2006	11/11/2005	2/9/2006	2/9/2007	1/10/2007	11/11/2006	2/9/2005	2	LYSP	EPA			3		
6641	Company	Symantec Corporation	17	FALSE	TRUE	15000	http://www.symantec.com		3/14/2006	3/17/2006	3/14/2006		TRUE	FALSE	US	2			0	4/5/2010	2/4/2010	5/5/2010	5/5/2011	4/5/2011	2/4/2011	3/14/2007	2	SYMC	NASDAQ					
6642	SME	Symbiotic Technologies Pty Ltd - TrustDefender	17	FALSE	TRUE	10	http://www.trustdefender.com		1/5/2007	1/5/2007	1/5/2007		TRUE	FALSE	AU	1			0	12/5/2008	10/6/2008	1/4/2009	1/4/2010	12/5/2009	10/6/2009	1/5/2008			ZXXZ					
6643	Mailing List	Sympatico	101	FALSE	FALSE	0			3/22/2007	3/22/2007			FALSE	FALSE	CA	2													ZXXZ					
6644	Business Association Local	Synergy Council - International Academy for Leadership in Business and Administration	101	FALSE	TRUE	11	http://www.ialba.org		4/7/2008	4/7/2008	4/7/2008		TRUE	FALSE	US	2			0								0		ZXXZ	All		0		
8898	Company	Syngenta International AG	5	FALSE	TRUE	22000	http://www.syngenta.com		1/15/2009	1/19/2009	1/15/2009		TRUE	FALSE	CH	2			0	12/16/2010	10/17/2010	1/15/2011	1/15/2012	12/16/2011	10/17/2011	1/15/2010	2	SYNN	SWF	All		0		pdf
8154	Foundation	Syrian Enterprise & Business Centre	101	FALSE	TRUE	40	http://www.sebcsyria.com		8/27/2008	8/27/2008	8/27/2008		TRUE	FALSE	SY	2			0	7/28/2010	5/29/2010	8/27/2010	8/27/2011	7/28/2011	5/29/2011	8/27/2009	0		ZXXZ	All		0		pdf
6645	SME	"Systec, S.A. de C.V."	11	FALSE	TRUE	30	http://www.systec.com.mx		3/30/2006	3/30/2006	3/30/2006		TRUE	FALSE	MX	0			0	2/28/2008	12/30/2007	3/29/2008	3/29/2009	2/27/2009	12/29/2008	3/30/2007			ZXXZ					
6646	Company	System Capital Management	32	FALSE	TRUE	160000	http://www.scm.com.ua		8/11/2006	8/11/2006	8/11/2006		TRUE	FALSE	UA	2			0	4/29/2010	2/28/2010	5/29/2010	5/29/2011	4/29/2011	2/28/2011	8/11/2007			ZXXZ					
8203	SME	Systeme de Securite Incendie Service (SSI Service)	11	FALSE	TRUE	96	http://ssiservice.fr		9/3/2008	9/3/2008	9/3/2008		TRUE	FALSE	FR	2			0	8/4/2010	6/5/2010	9/3/2010	9/3/2011	8/4/2011	6/5/2011	9/3/2009	0		ZXXZ	All		0		pdf
8753	Company	Systems Niscayah S.A.	18	FALSE	TRUE	1220	http://www.niscayah.es		12/11/2008	12/11/2008	12/11/2008		TRUE	FALSE	ES	2			0	11/11/2010	9/12/2010	12/11/2010	12/11/2011	11/11/2011	9/12/2011	12/11/2009	1		ZXXZ	All		0		pdf
