"ID","LOGO_REQUEST_ID","COMMENT_ID","DATE_UPLOADED","FILENAME","EXTENSION"
1,1,1,2009-02-06 00:01:07,"GlobalCompact_Site.jpg","jpg"
2,2,2,2009-02-06 01:38:17,"GC.pdf","pdf"
3,3,3,2009-02-06 01:40:39,"wesupport.mht","mht"
4,4,5,2009-02-06 03:35:38,"Metso_SR2007_eng.pdf","pdf"
5,5,6,2009-02-06 06:18:14,"web site screenshot.bmp","bmp"
6,6,7,2009-02-06 07:41:21,"CR Report.jpg","jpg"
7,7,8,2009-02-06 08:57:20,"Global Compact_logo autorization.docx","docx"
8,8,16,2009-02-07 02:54:12,"website with Global Compact.jpg","jpg"
9,9,17,2009-02-07 09:28:23,"01.jpg","jpg"
10,10,18,2009-02-09 15:17:32,"Lincoln Crowne Foundation Release 030209.pdf","pdf"
11,11,19,2009-02-09 15:52:34,"LCC Corporate Responsibility Slide.pdf","pdf"
12,12,25,2009-02-09 22:09:39,"UNGC Letter.doc","doc"
13,13,26,2009-02-10 04:31:08,"business card with UNGC logo.jpg","jpg"
14,14,27,2009-02-10 06:26:45,"Sample.doc","doc"
15,15,33,2009-02-11 05:34:19,"Cool House brochure with Global Compact logo.jpg","jpg"
16,16,36,2009-02-11 22:27:45,"Cool House exhibition with Global Compact we suppo","jpg"
17,17,37,2009-02-11 22:50:22,"Cool House broadcast with Global Compact we suppor","jpg"
18,18,38,2009-02-12 07:03:37,"Ä°ndeksLogo.JPG","jpg"
19,19,39,2009-02-12 09:34:02,"tete de lettre label Global compact.pdf","pdf"
20,20,40,2009-02-12 09:36:07,"carte de visite label Global compact.pdf","pdf"
21,21,41,2009-02-12 09:37:38,"facture ICE label Global Compact.pdf","pdf"
22,22,48,2009-02-15 19:13:19,"à¸«à¸±à¸§à¸à¸£à¸°à¸”à¸²à¸© Cool House + Global Co","pdf"
23,23,49,2009-02-17 04:13:34,"SupportUNGC logo.jpg","jpg"
24,24,50,2009-02-17 12:08:59,"Graph.doc","doc"
25,25,55,2009-02-18 09:27:20,"Sample_Bostadsbolaget.pdf","pdf"
26,26,57,2009-02-18 13:55:25,"faq_treviso_final_capa.jpg","jpg"
27,27,58,2009-02-18 13:59:53,"sol_treviso_capa.jpg","jpg"
28,28,59,2009-02-19 06:31:12,"pacto_global.jpg","jpg"
29,29,63,2009-02-23 08:40:12,"Corporate social responsibility.doc","doc"
30,29,63,2009-02-23 08:40:12,"Prosafe-Annual report 2007.pdf","pdf"
31,30,65,2009-02-23 17:41:37,"USO LOGO GLOBAL COMPACT BALANCE 2008.pdf","pdf"
32,31,66,2009-02-24 08:25:45,"hakkimizda.jpg","jpg"
33,31,66,2009-02-24 08:25:45,"anasayfa.jpg","jpg"
34,32,67,2009-02-24 11:56:21,"SAGA_Group_page10-11.pdf","pdf"
35,33,71,2009-02-26 05:54:33,"UNGC logo on Semco web.jpg","jpg"
36,34,72,2009-02-26 06:35:10,"website_with_logos_eng.pdf","pdf"
37,35,73,2009-02-26 06:38:58,"Letter_HNCSR_logos.pdf","pdf"
38,23,77,2009-02-26 21:03:27,"IBREA-Web_site.jpg","jpg"
39,36,79,2009-02-28 00:47:13,"Notams 102 Septiembre 2008.pdf","pdf"
40,37,80,2009-03-02 03:53:01,"Sample_DZBANK.pdf","pdf"
41,38,81,2009-03-02 05:05:46,"PourLogoGlobalCompact.pdf","pdf"
42,39,82,2009-03-02 07:25:28,"GC LOGO ALIARSE.doc","doc"
43,40,87,2009-03-02 13:27:03,"Notams 102 Septiembre 2008.pdf","pdf"
44,41,89,2009-03-03 05:04:12,"SKILT (UK).pdf","pdf"
45,41,89,2009-03-03 05:04:12,"Én Gry & Sif - Spring 09 Catalogue.pdf","pdf"
46,41,89,2009-03-03 05:04:12,"Website.doc","doc"
47,42,91,2009-03-03 17:26:11,"Nueva imagen.JPG","jpg"
48,43,92,2009-03-04 03:58:47,"ä¼ä¸šç¤¾ä¼šè´£ä»»-å°é¢0216.jpg","jpg"
49,44,93,2009-03-04 05:08:38,"ICA_ÅR08_CR report GC logo example.pdf","pdf"
50,45,94,2009-03-04 07:18:00,"Web_controldemeter.pdf","pdf"
51,45,94,2009-03-04 07:18:00,"Carpeta_controldemeter.pdf","pdf"
52,46,95,2009-03-04 10:03:09,"Transcom_AR08_Proof1a.pdf","pdf"
53,47,97,2009-03-04 11:30:11,"Global compact conf de presse.ppt","ppt"
54,48,98,2009-03-05 03:38:17,"Charte Engagement Developpement Durable.doc","doc"
55,49,99,2009-03-05 03:43:11,"Genesis logo PMNU.doc","doc"
56,50,100,2009-03-05 04:23:13,"action=central_contenido.pdf","pdf"
57,51,101,2009-03-05 06:39:45,"UNGC_website_concept.pdf","pdf"
58,52,102,2009-03-05 06:51:00,"Hilti_Logo request.ppt","ppt"
59,53,103,2009-03-05 08:58:25,"Intranet.doc","doc"
60,54,104,2009-03-05 10:59:09,"Uniliver.pdf","pdf"
61,55,107,2009-03-05 13:00:39,"Asiak1.doc","doc"
62,56,108,2009-03-05 14:58:07,"mockup-shot.jpg","jpg"
63,57,109,2009-03-06 02:11:41,"PLASKE BLANK-UP.jpg","jpg"
64,58,110,2009-03-06 02:30:28,"PLASKE-webpage.jpg","jpg"
65,59,111,2009-03-06 02:47:30,"global compact logo 5Mar09.jpg","jpg"
66,60,112,2009-03-06 06:15:06,"TABLA GRI 05-03-09 (a plantar).doc","doc"
67,61,113,2009-03-06 07:44:11,"Pages from DRAFT1_Vaisala_Corporate_Responsibility","pdf"
68,62,114,2009-03-06 09:40:10,"un_global compact.jpg","jpg"
69,63,115,2009-03-06 09:42:04,"UNGC logo positioning.doc","doc"
70,64,116,2009-03-06 10:29:51,"Sostenibilita08_2bz_pag11.pdf","pdf"
71,65,117,2009-03-07 05:01:41,"China Datang.doc","doc"
72,66,118,2009-03-07 23:52:34,"responsibilty page.xls","xls"
73,67,119,2009-03-08 12:46:11,"sample.bmp","bmp"
74,68,120,2009-03-09 03:49:55,"The-Global-Compact-spread.jpg","jpg"
75,69,121,2009-03-09 04:24:25,"www.ito.org.tr.doc","doc"
76,70,122,2009-03-09 07:29:03,"logo xeracon.pdf","pdf"
77,71,123,2009-03-09 09:17:35,"Sample Schneider Electric Document.pdf","pdf"
78,72,153,2009-03-10 06:43:58,"Hilti_Environment_Brochure.doc","doc"
79,73,154,2009-03-10 10:08:18,"CONVITE GLOBAL.doc","doc"
80,74,157,2009-03-10 13:01:18,"mission_ep_screen grab.png","png"
